started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-02-01 07:04:08.096000+00:00,2024-02-01 07:11:36.754000+00:00,448,511,Henrik Ibsens gate,ved Parkveien,59.915088,10.7222803,556,Pilestredet,ved Sporveisgata,59.9262242,10.7296246
2024-02-01 07:06:06.712000+00:00,2024-02-01 07:13:45.521000+00:00,458,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2024-02-01 07:06:09.640000+00:00,2024-02-01 07:17:24.908000+00:00,675,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,2308,Gunerius,utenfor Storgata 33,59.91459878869395,10.753398500006654
2024-02-01 07:08:33.434000+00:00,2024-02-01 07:14:57.763000+00:00,384,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 07:08:38.920000+00:00,2024-02-01 07:28:12.364000+00:00,1173,458,Jenny Braatens Plass,langs Rosenhoffgata,59.928349,10.77837,2337,Universitetsgata,Hjørnet av Universitetsgata and Kristian IVs Gate,59.91591543378553,10.737834990277321
2024-02-01 07:08:40.226000+00:00,2024-02-01 07:23:31.239000+00:00,891,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,414,Kontraskjæret,ved Christiania Torv,59.910242,10.73857
2024-02-01 07:09:19.644000+00:00,2024-02-01 07:14:27.814000+00:00,308,456,Frognerstranda,ved Kongen Marina,59.9103558,10.7051061,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2024-02-01 07:09:48.348000+00:00,2024-02-01 07:15:18.877000+00:00,330,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,2328,The Hub,Mellom Oslo City og The Hub hotel,59.912522370233745,10.750910185807754
2024-02-01 07:11:00.183000+00:00,2024-02-01 07:17:12.574000+00:00,372,392,Sjøsiden 2 ved fontenen,to rader nærmest fontenen,59.910180852633516,10.751698750995615,441,Vippetangen øst,nærmest Operaen,59.903989,10.741077
2024-02-01 07:11:01.859000+00:00,2024-02-01 07:15:26.239000+00:00,264,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2024-02-01 07:12:04.730000+00:00,2024-02-01 07:18:14.367000+00:00,369,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,599,Paléhaven,langs Strandgata,59.910331,10.75011
2024-02-01 07:14:41.745000+00:00,2024-02-01 07:26:20.906000+00:00,699,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971
2024-02-01 07:14:59.435000+00:00,2024-02-01 07:41:58.196000+00:00,1618,608,Colletts gate,ved Diriks gate,59.93068679863987,10.746273349149249,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2024-02-01 07:15:11.596000+00:00,2024-02-01 07:28:30.032000+00:00,798,392,Sjøsiden 2 ved fontenen,to rader nærmest fontenen,59.910180852633516,10.751698750995615,404,Oslo Handelsgymnasium,ved Solligata,59.914306,10.720202
2024-02-01 07:15:25.538000+00:00,2024-02-01 07:39:16.190000+00:00,1430,2329,Via Vika,mellom bygningene ved Via Vika,59.91271286014364,10.727170827087008,474,Blindern studentparkering,rett ved Blindern Studenterhjem,59.940873733543725,10.720778851520523
2024-02-01 07:16:12.441000+00:00,2024-02-01 07:28:40.651000+00:00,748,563,Huitfeldts gate,ved Observatoriegata,59.9126844,10.7229003,392,Sjøsiden 2 ved fontenen,to rader nærmest fontenen,59.910180852633516,10.751698750995615
2024-02-01 07:18:48.523000+00:00,2024-02-01 07:24:43.238000+00:00,354,609,Fred Olsens gate,ved Karl Johans gate,59.9110506,10.7493737,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 07:19:35.645000+00:00,2024-02-01 07:23:23.160000+00:00,227,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,475,Hausmanns bru,langs Nylandsveien,59.9146509,10.7598719
2024-02-01 07:19:45.152000+00:00,2024-02-01 07:24:46.276000+00:00,301,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311
2024-02-01 07:19:55.118000+00:00,2024-02-01 07:35:36.197000+00:00,941,505,Marienlystparken,langs Kirkeveien,59.93215,10.723478,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
